rank,naslov,ocena,deli,popularnost,žanri,revija
89,Koten-bu Series,8.61,Ni končana,1023,"['Adventure', 'Mystery']",Nismo našli revije
90,Kusuriya no Hitorigoto,8.61,Ni končana,245,"['Drama', 'Mystery']",Big Gangan
91,Mob Psycho 100,8.61,16,109,"['Action', 'Award Winning', 'Comedy', 'Supernatural']",MangaONE
92,Ginga Eiyuu Densetsu,8.61,10,1989,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",Nismo našli revije
93,Banana Fish,8.60,19,286,"['Action', 'Adventure', 'Drama']",Betsucomi
94,Kono Subarashii Sekai ni Shukufuku wo!,8.60,17,305,"['Adventure', 'Comedy', 'Fantasy']",Nismo našli revije
95,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.60,4,645,['Romance'],Gene pixiv
96,19 Tian,8.60,Ni končana,2003,"['Boys Love', 'Comedy']",Nismo našli revije
97,Skip to Loafer,8.59,Ni končana,447,"['Award Winning', 'Drama']",Afternoon
98,Ao Ashi,8.59,Ni končana,573,"['Award Winning', 'Sports']",Big Comic Spirits
99,Shigatsu wa Kimi no Uso,8.59,11,192,"['Award Winning', 'Drama', 'Romance']",Shounen Magazine (Monthly)
100,Seishun Buta Yarou Series,8.59,Ni končana,678,"['Drama', 'Romance', 'Supernatural']",Nismo našli revije
