rank,naslov,ocena,deli
401,Kamigami no Itadaki,8.22,5
402,GTO: Shonan 14 Days,8.22,9
403,Private Opinion: Banana Fish Another Story,8.22,1
404,Non Non Biyori,8.22,16
405,Hourou Musuko,8.21,15
406,7 Seeds,8.21,35
407,Solanin,8.21,2
408,Crows,8.21,26
409,Toradora!,8.21,10
410,Tasogare Otome x Amnesia,8.21,10
411,Aku no Hana,8.21,11
412,Taiyou no Ie,8.21,13
413,"Tadaima, Okaeri",8.21,Ni končana
414,Summertime Render,8.21,13
415,Boku ga Otto ni Deau made,8.21,1
416,Tsurezure Children,8.21,12
417,Dead Dead Demons Dededede Destruction,8.20,12
418,Steins;Gate: Aishin Meizu no Babel,8.20,4
419,Bishoujo Senshi Sailor Moon,8.20,18
420,Meteor Methuselah,8.20,11
421,Saiyuuki Reload,8.20,10
422,Hikaru ga Shinda Natsu,8.20,Ni končana
423,Semantic Error,8.20,Ni končana
424,See You in My 19th Life,8.20,12
425,Majo no Tabitabi,8.20,Ni končana
426,Dr. Stone,8.20,27
427,Majo to Yajuu,8.20,10
428,Steins;Gate 0,8.20,6
429,NieR:Automata,8.20,3
430,Machikado Mazoku,8.19,Ni končana
431,The Ravages of Time,8.19,Ni končana
432,Historie,8.19,Ni končana
433,Rokka no Yuusha,8.19,6
434,Innocent,8.19,9
435,Hirunaka no Ryuusei,8.19,12
436,Date A Live,8.19,22
437,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,8.19,12
438,Cheese in the Trap Season 4,8.19,7
439,Fushigi Neko no Kyuu-chan,8.19,8
440,Why Raeliana Ended Up at the Duke's Mansion,8.19,Ni končana
441,Your Throne,8.19,Ni končana
442,A Stepmother's Märchen,8.19,Ni končana
443,Romance 101,8.19,11
444,Ren Zha Fanpai Zijiu Xitong,8.19,3
445,Bungou Stray Dogs: Dead Apple,8.18,4
446,Shinai naru Boku e Satsui wo Komete,8.18,11
447,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,8.18,Ni končana
448,Bokura no Shokutaku,8.18,1
449,Yuu☆Yuu☆Hakusho,8.18,19
450,H2,8.18,34
451,Koori no Mamono no Monogatari,8.18,24
452,The One,8.18,18
